alpha_center,taper,taper_center_D,taper_sigma_D,D,eta,mu,base_mu,delta_mu,delta_log_mu,acceptance_mismatch
0.8,0.0,5.9,0.4,5.627118644067797,0.2,46.83904203743448,57.5547616979981,-10.715719660563622,-0.20601978522125286,0.0
0.8,0.0,6.0,0.4,5.627118644067797,0.2,46.83904203743448,57.5547616979981,-10.715719660563622,-0.20601978522125286,0.0
0.8,0.01,5.9,0.4,5.627118644067797,0.2,47.29797802779035,57.5547616979981,-10.256783670207753,-0.1962693251788856,0.0
0.8,0.01,6.0,0.4,5.627118644067797,0.2,47.35185092651343,57.5547616979981,-10.202910771484675,-0.1951309627510619,0.0
0.8,0.02,5.9,0.4,5.627118644067797,0.2,47.761410742120084,57.5547616979981,-9.793350955878019,-0.18651886513651886,0.0
0.8,0.02,6.0,0.4,5.627118644067797,0.2,47.870274212157284,57.5547616979981,-9.684487485840819,-0.18424214028087063,0.0
0.825,0.0,5.9,0.4,5.627118644067797,0.2,48.1377911481655,57.5547616979981,-9.416970549832605,-0.1786693245524459,0.0
0.825,0.0,6.0,0.4,5.627118644067797,0.2,48.1377911481655,57.5547616979981,-9.416970549832605,-0.1786693245524459,0.0
0.825,0.01,5.9,0.4,5.627118644067797,0.2,48.60945247796959,57.5547616979981,-8.945309220028513,-0.1689188645100792,0.0
0.825,0.01,6.0,0.4,5.627118644067797,0.2,48.66481916000391,57.5547616979981,-8.889942537994195,-0.167780502082255,0.0
0.825,0.02,5.9,0.4,5.627118644067797,0.2,49.08573521654063,57.5547616979981,-8.469026481457476,-0.15916840446771202,0.0
0.825,0.02,6.0,0.4,5.627118644067797,0.2,49.19761724393406,57.5547616979981,-8.357144454064041,-0.15689167961206416,0.0
0.85,0.0,5.9,0.4,5.627118644067797,0.2,49.472551867572804,57.5547616979981,-8.082209830425299,-0.15131886388363916,0.0
0.85,0.0,6.0,0.4,5.627118644067797,0.2,49.472551867572804,57.5547616979981,-8.082209830425299,-0.15131886388363916,0.0
0.85,0.01,5.9,0.4,5.627118644067797,0.2,49.957291383992235,57.5547616979981,-7.597470314005868,-0.14156840384127228,0.0
0.85,0.01,6.0,0.4,5.627118644067797,0.2,50.01419326883875,57.5547616979981,-7.54056842915935,-0.14043004141344798,0.0
0.85,0.02,5.9,0.4,5.627118644067797,0.2,50.44678045122133,57.5547616979981,-7.107981246776774,-0.13181794379890546,0.0
0.85,0.02,6.0,0.4,5.627118644067797,0.2,50.56176473428149,57.5547616979981,-6.992996963716614,-0.1295412189432574,0.0
0.8,0.0,5.9,0.4,5.627118644067797,0.6,46.84407814279503,57.560445227006106,-10.716367084211079,-0.2060110166683111,0.0
0.8,0.0,6.0,0.4,5.627118644067797,0.6,46.84407814279503,57.560445227006106,-10.716367084211079,-0.2060110166683111,0.0
0.8,0.01,5.9,0.4,5.627118644067797,0.6,47.3030652373603,57.560445227006106,-10.257379989645806,-0.1962605194255976,0.0
0.8,0.01,6.0,0.4,5.627118644067797,0.6,47.356944136146225,57.560445227006106,-10.20350109085988,-0.19512215265464766,0.0
0.8,0.02,5.9,0.4,5.627118644067797,0.6,47.76654957386799,57.560445227006106,-9.793895653138115,-0.18651002218288398,0.0
0.8,0.02,6.0,0.4,5.627118644067797,0.6,47.87542517279779,57.560445227006106,-9.685020054208316,-0.1842332886409836,0.0
0.825,0.0,5.9,0.4,5.627118644067797,0.6,48.14297191789214,57.560445227006106,-9.417473309113966,-0.17866045165092873,0.0
0.825,0.0,6.0,0.4,5.627118644067797,0.6,48.14297191789214,57.560445227006106,-9.417473309113966,-0.17866045165092873,0.0
