D,eta,coeff_l1,coeff_l2,tree_diag_susceptibility_parented,coeff_participation_access_parented,tree_diag_compressibility_parented,stationarity_s_part,stationarity_s_schur,stationarity_response_action,stationarity_response_weight,stationarity_score_alpha,stationarity_score_beta,stationarity_cross_xi,stationarity_lambda_quartic_density,eymh_parented_prefactor_diag
19.200000000000003,0.2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0580670617382019
20.0,0.2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0622911350603241
4.0,0.39,0.5348201512826798,0.3820817830141957,0.8361085273697313,0.845228796150285,0.7379905933437506,0.3362958472004176,0.6076484012191536,0.9439442484195713,0.6237709007821728,-0.1681479236002088,-0.3038242006095768,0.13004830295708228,0.0016451276776246115,0.0433256378659887
4.8,0.39,0.5496382522016724,0.3964315670180943,0.7724182321623736,0.8492697193296965,0.7511330917844572,0.3267569050232783,0.5723448469989183,0.8991017520221967,0.6379145900390331,-0.16337845251163916,-0.28617242349945915,0.12147504644064844,0.0015012023190454638,0.0392191959549454
5.6,0.39,0.5468221053448145,0.3979748578049887,1.0623567566189278,0.8531095169384951,0.6963348049340008,0.3177346988340467,0.7238493854785658,1.0415840843126125,0.5940498490647067,-0.15886734941702335,-0.3619246927392829,0.14021721472029533,0.001734556538751604,0.044896760436053
6.4,0.39,0.5249812867988601,0.3726557072448083,0.868413466345598,0.8425234101369388,0.7315828324355546,0.3427076612579426,0.6250896570409504,0.967797318298893,0.6163756627812441,-0.1713538306289713,-0.3125448285204752,0.1348598203258129,0.0017274127754537466,0.0493701324354692
7.2,0.39,0.508580892319907,0.3470601234960784,0.3844355324879933,0.8260804395106183,0.8498917849744877,0.38212625161457975,0.32529249879465927,0.7074187504092391,0.7020789792681886,-0.19106312580728987,-0.16264624939732963,0.08818995442108464,0.0009584074595024495,0.0543924297365417
8.0,0.39,0.5340456087317134,0.3605063298004697,0.3511645686794096,0.8216129447287176,0.8602919831838897,0.3929717299596685,0.30096686405353396,0.6939385940132025,0.706827029630224,-0.19648586497983425,-0.15048343202676698,0.08445432253962086,0.0008908612558079385,0.0579949944510229
8.8,0.39,0.4659139786252545,0.3128373898658881,0.6407998244075555,0.8194198052293942,0.7806784650591755,0.3983174875140615,0.49518382075966744,0.8935013082737289,0.6397033957855719,-0.19915874375703074,-0.24759191037983372,0.12831275157026362,0.0016843679042072457,0.0457081664626894
9.6,0.39,0.465410391829237,0.311022915080539,0.7998543928953749,0.8174819188927818,0.7453861413090546,0.4030529880353437,0.5877057687942142,0.9907587568295579,0.6093396931134121,-0.20152649401767184,-0.2938528843971071,0.14741767423132074,0.00201724226110826,0.0411393810710699
10.4,0.39,0.4844721632973193,0.3229405158487987,0.7700606219476459,0.8164448484151952,0.7516331565125128,0.40559183038152596,0.5710137956871661,0.9766056260686922,0.6136670185326931,-0.20279591519076298,-0.2855068978435831,0.14505261716213022,0.001980873365188806,0.0443592616336688
11.2,0.39,0.5036497917996202,0.335343899962222,0.7268560834220629,0.8159825587361267,0.7609776953524688,0.4067245966886865,0.5463024624101752,0.9530270590988617,0.6209445269948283,-0.20336229834434325,-0.2731512312050876,0.14065751661931958,0.001907091395594766,0.0459252722558148
12.0,0.39,0.5221458734019447,0.3475023272755173,0.6621244762845668,0.8157985587153559,0.7756543412618999,0.4071756376269177,0.5080965891068089,0.9152722267337265,0.6327776936627667,-0.20358781881345886,-0.25404829455340444,0.1332406640766865,0.0017771165372524917,0.0457444417491334
