beta_peak,sigma_D,D,eta,mu,base_mu,delta_mu,delta_log_mu,acceptance_mismatch
0.0,0.8,4.0,4.0,2.258965115084494,3.1833742708158104,-0.9244091557313165,-0.3430349309536989,0.0
0.25,0.2,4.0,4.0,2.2589651150844965,3.1833742708158104,-0.9244091557313139,-0.34303493095369786,0.0
0.25,0.3,4.0,4.0,2.258965195134163,3.1833742708158104,-0.9244090756816474,-0.34303489551726524,0.0
0.25,0.4,4.0,4.0,2.2590054461931763,3.1833742708158104,-0.924368824622634,-0.3430170773142666,0.0
0.25,0.6,4.0,4.0,2.2624019933386017,3.1833742708158104,-0.9209722774772087,-0.3415146478916733,0.0
0.25,0.8,4.0,4.0,2.2752944371349044,3.1833742708158104,-0.908079833680906,-0.33583225873904815,0.0
0.5,0.2,4.0,4.0,2.2589651150845045,3.1833742708158104,-0.9244091557313059,-0.34303493095369425,0.0
0.5,0.3,4.0,4.0,2.258965275183832,3.1833742708158104,-0.9244089956319783,-0.3430348600808326,0.0
0.5,0.4,4.0,4.0,2.259045778021919,3.1833742708158104,-0.9243284927938915,-0.3429992236748357,0.0
0.5,0.6,4.0,4.0,2.265844100594262,3.1833742708158104,-0.9175301702215486,-0.3399943648296554,0.0
0.5,0.8,4.0,4.0,2.2917417985285695,3.1833742708158104,-0.8916324722872409,-0.3286295865243985,0.0
0.75,0.2,4.0,4.0,2.2589651150845045,3.1833742708158104,-0.9244091557313059,-0.34303493095369425,0.0
0.75,0.3,4.0,4.0,2.258965355233504,3.1833742708158104,-0.9244089155823065,-0.3430348246444002,0.0
0.75,0.4,4.0,4.0,2.2590861105707294,3.1833742708158104,-0.924288160245081,-0.3429813700354086,0.0
0.75,0.6,4.0,4.0,2.269291444807108,3.1833742708158104,-0.9140828260087024,-0.3384740817676342,0.0
0.75,0.8,4.0,4.0,2.3083080525334134,3.1833742708158104,-0.875066218282397,-0.3214269143097455,0.0
1.0,0.2,4.0,4.0,2.2589651150845045,3.1833742708158104,-0.9244091557313059,-0.34303493095369425,0.0
1.0,0.3,4.0,4.0,2.25896543528317,3.1833742708158104,-0.9244088355326405,-0.3430347892079717,0.0
1.0,0.4,4.0,4.0,2.259126443839638,3.1833742708158104,-0.9242478269761722,-0.3429635163959775,0.0
1.0,0.6,4.0,4.0,2.272744033944844,3.1833742708158104,-0.9106302368709662,-0.3369537987056133,0.0
1.0,0.8,4.0,4.0,2.3249940585853306,3.1833742708158104,-0.8583802122304798,-0.31422424209509536,0.0
0.0,0.2,4.8,0.2,13.624865549132435,13.739247292265361,-0.1143817431329257,-0.00836003052424883,0.0
0.0,0.3,4.8,0.2,13.624865549132435,13.739247292265361,-0.1143817431329257,-0.00836003052424883,0.0
0.0,0.4,4.8,0.2,13.624865549132435,13.739247292265361,-0.1143817431329257,-0.00836003052424883,0.0
0.0,0.6,4.8,0.2,13.624865549132435,13.739247292265361,-0.1143817431329257,-0.00836003052424883,0.0
0.0,0.8,4.8,0.2,13.624865549132435,13.739247292265361,-0.1143817431329257,-0.00836003052424883,0.0
0.25,0.2,4.8,0.2,13.625108804740753,13.739247292265361,-0.11413848752460787,-0.00834217688481668,0.0
0.25,0.3,4.8,0.2,13.64559495473869,13.739247292265361,-0.09365233752667024,-0.0068397474622227195,0.0
0.25,0.4,4.8,0.2,13.723355258406682,13.739247292265361,-0.015892033858678545,-0.0011573583095976035,0.0
0.25,0.6,4.8,0.2,13.926259893561515,13.739247292265361,0.1870126012961535,0.013519755745236369,0.0
0.25,0.8,4.8,0.2,14.071853686484996,13.739247292265361,0.3326063942196349,0.02392010681737872,0.0
0.5,0.2,4.8,0.2,13.625352064692093,13.739247292265361,-0.11389522757326809,-0.008324323245385696,0.0
0.5,0.3,4.8,0.2,13.666355898876732,13.739247292265361,-0.0728913933886286,-0.005319464400205116,0.0
0.5,0.4,4.8,0.2,13.822556917666613,13.739247292265361,0.08330962540125242,0.0060453139050521435,0.0
